32718564 1 -16 157 -1250 9014 -62345 | 40319 362815 3626193 39832503 476570602 6161264067
13678524 1 -16 157 -1254 9202 -67579 | 40319 362815 3626193 39832507 476570990 6161286201
15672843 1 -16 157 -1254 9202 -67394 | 40319 362815 3626193 39832507 476570990 6161286016
13682754 1 -16 159 -1306 9820 -69383 | 40319 362815 3626191 39832317 476560436 6160834747
14857236 1 -16 159 -1306 9820 -69084 | 40319 362815 3626191 39832317 476560436 6160834448
13684527 1 -16 159 -1307 9877 -70946 | 40319 362815 3626191 39832318 476560523 6160838845
14672853 1 -16 159 -1307 9877 -70829 | 40319 362815 3626191 39832318 476560523 6160838728
13684725 1 -16 160 -1348 10829 -87476 | 40319 362815 3626190 39832238 476556763 6160702599
13852647 1 -16 160 -1348 10829 -87652 | 40319 362815 3626190 39832238 476556763 6160702775
13687425 1 -16 158 -1276 9363 -65579 | 40319 362815 3626192 39832408 476565285 6161033912
13768425 1 -16 158 -1276 9363 -65566 | 40319 362815 3626192 39832408 476565285 6161033899
13726584 1 -16 159 -1317 10254 -78957 | 40319 362815 3626191 39832328 476561586 6160904823
16374852 1 -16 159 -1317 10254 -78579 | 40319 362815 3626191 39832328 476561586 6160904445
13745826 1 -16 159 -1297 9404 -57947 | 40319 362815 3626191 39832308 476559556 6160784103
13865274 1 -16 159 -1297 9404 -58022 | 40319 362815 3626191 39832308 476559556 6160784178
13746582 1 -16 158 -1292 10026 -80811 | 40319 362815 3626192 39832424 476566926 6161131785
13754682 1 -16 158 -1292 10026 -80743 | 40319 362815 3626192 39832424 476566926 6161131717
13762584 1 -16 159 -1302 9626 -64049 | 40319 362815 3626191 39832313 476560054 6160813527
13764285 1 -16 159 -1302 9626 -64082 | 40319 362815 3626191 39832313 476560054 6160813560
23571486 1 -16 159 -1302 9626 -63559 | 40319 362815 3626191 39832313 476560054 6160813037
13765284 1 -16 158 -1274 9296 -64933 | 40319 362815 3626192 39832406 476565064 6161020253
27156843 1 -16 158 -1274 9296 -63984 | 40319 362815 3626192 39832406 476565064 6161019304
13765824 1 -16 157 -1248 8945 -61433 | 40319 362815 3626193 39832501 476570383 6161250480
14576283 1 -16 157 -1248 8945 -61011 | 40319 362815 3626193 39832501 476570383 6161250058
13768245 1 -16 157 -1241 8647 -54234 | 40319 362815 3626193 39832494 476569673 6161208467
32485176 1 -16 157 -1241 8647 -53748 | 40319 362815 3626193 39832494 476569673 6161207981
13768542 1 -16 157 -1257 9264 -66901 | 40319 362815 3626193 39832510 476571360 6161311549
13825467 1 -16 157 -1257 9264 -67323 | 40319 362815 3626193 39832510 476571360 6161311971
13784256 1 -16 158 -1278 9426 -66382 | 40319 362815 3626192 39832410 476565510 6161048404
14872653 1 -16 158 -1278 9426 -66361 | 40319 362815 3626192 39832410 476565510 6161048383
46718325 1 -16 158 -1278 9426 -65435 | 40319 362815 3626192 39832410 476565510 6161047457
13784265 1 -16 158 -1274 9276 -63601 | 40319 362815 3626192 39832406 476565084 6161022301
25147863 1 -16 158 -1274 9276 -63410 | 40319 362815 3626192 39832406 476565084 6161022110
13784526 1 -16 158 -1275 9299 -63173 | 40319 362815 3626192 39832407 476565205 6161030154
26138754 1 -16 158 -1275 9299 -63345 | 40319 362815 3626192 39832407 476565205 6161030326
13785264 1 -16 159 -1314 10167 -77803 | 40319 362815 3626191 39832325 476561241 6160881868
13875246 1 -16 159 -1314 10167 -77808 | 40319 362815 3626191 39832325 476561241 6160881873
13785462 1 -16 157 -1249 8946 -59905 | 40319 362815 3626193 39832502 476570526 6161260951
14837652 1 -16 157 -1249 8946 -60383 | 40319 362815 3626193 39832502 476570526 6161261429
13786452 1 -16 156 -1220 8484 -54735 | 40319 362815 3626194 39832594 476575524 6161471763
15346872 1 -16 156 -1220 8484 -54830 | 40319 362815 3626194 39832594 476575524 6161471858
13826745 1 -16 157 -1256 9253 -68100 | 40319 362815 3626193 39832509 476571227 6161302439
16574823 1 -16 157 -1256 9253 -67667 | 40319 362815 3626193 39832509 476571227 6161302006
13826754 1 -16 157 -1256 9246 -67593 | 40319 362815 3626193 39832509 476571234 6161303115
15764832 1 -16 157 -1256 9246 -67484 | 40319 362815 3626193 39832509 476571234 6161303006
13827564 1 -16 157 -1261 9454 -72490 | 40319 362815 3626193 39832514 476571746 6161333700
14675832 1 -16 157 -1261 9454 -72131 | 40319 362815 3626193 39832514 476571746 6161333341
13827645 1 -16 157 -1259 9373 -70555 | 40319 362815 3626193 39832512 476571539 6161321118
