class_id,size,representative,c8,c9,c10,c11,c12,c13,c14,Av8,Av9,Av10,Av11,Av12,Av13,Av14,cutoff
2592,8,23687514,1,-16,157,-1249,9058,,,40319,362815,3626193,39832502,476570414,,,12
2593,8,23714586,1,-16,158,-1273,9229,,,40319,362815,3626192,39832405,476564987,,,12
2594,8,23714685,1,-16,159,-1309,10007,,,40319,362815,3626191,39832320,476560681,,,12
2595,8,23714856,1,-16,158,-1272,9166,,,40319,362815,3626192,39832404,476564906,,,12
2596,8,23714865,1,-16,158,-1271,9135,,,40319,362815,3626192,39832403,476564793,,,12
2597,8,23715486,1,-16,158,-1275,9289,,,40319,362815,3626192,39832407,476565215,,,12
2598,8,23715684,1,-16,158,-1274,9338,,,40319,362815,3626192,39832406,476565022,,,12
2599,8,23715846,1,-16,159,-1310,10046,-76437,,40319,362815,3626191,39832321,476560786,6160852279,,13
2600,8,23715864,1,-16,159,-1314,10208,,,40319,362815,3626191,39832325,476561200,,,12
2601,8,23716485,1,-16,159,-1310,10033,,,40319,362815,3626191,39832321,476560799,,,12
2602,8,23716584,1,-16,158,-1274,9256,,,40319,362815,3626192,39832406,476565104,,,12
2603,8,23716845,1,-16,158,-1280,9604,,,40319,362815,3626192,39832412,476565620,,,12
2604,8,23716854,1,-16,158,-1280,9528,,,40319,362815,3626192,39832412,476565696,,,12
2605,8,23718456,1,-16,157,-1249,9009,-63215,,40319,362815,3626193,39832502,476570463,6161253614,,13
2606,8,23718465,1,-16,157,-1240,8644,-55231,,40319,362815,3626193,39832493,476569532,6161197803,,13
2607,8,23718546,1,-16,157,-1240,8644,-55018,,40319,362815,3626193,39832493,476569532,6161197590,,13
2608,8,23718564,1,-16,157,-1248,8978,,,40319,362815,3626193,39832501,476570350,,,12
2609,8,23718645,1,-16,157,-1248,9023,,,40319,362815,3626193,39832501,476570305,,,12
2610,8,23718654,1,-16,157,-1249,8986,,,40319,362815,3626193,39832502,476570486,,,12
2611,8,23741586,1,-16,159,-1309,9964,,,40319,362815,3626191,39832320,476560724,,,12
2612,8,23741685,1,-16,159,-1305,9837,,,40319,362815,3626191,39832316,476560275,,,12
2613,8,23741856,1,-16,158,-1273,9237,,,40319,362815,3626192,39832405,476564979,,,12
2614,8,23741865,1,-16,158,-1270,9103,,,40319,362815,3626192,39832402,476564681,,,12
2615,8,23745186,1,-16,158,-1271,9122,,,40319,362815,3626192,39832403,476564806,,,12
2616,8,23745816,1,-16,158,-1265,8844,,,40319,362815,3626192,39832397,476564220,,,12
2617,8,23746185,1,-16,159,-1302,9716,,,40319,362815,3626191,39832313,476559964,,,12
2618,8,23746815,1,-16,159,-1308,9984,,,40319,362815,3626191,39832319,476560560,,,12
2619,8,23748156,1,-16,158,-1270,9126,,,40319,362815,3626192,39832402,476564658,,,12
2620,8,23748165,1,-16,158,-1267,8989,,,40319,362815,3626192,39832399,476564363,,,12
2621,8,23748516,1,-16,159,-1314,10212,,,40319,362815,3626191,39832325,476561196,,,12
2622,8,23748615,1,-16,159,-1310,10051,,,40319,362815,3626191,39832321,476560781,,,12
2623,8,23751486,1,-16,159,-1303,9714,,,40319,362815,3626191,39832314,476560110,,,12
2624,8,23751684,1,-16,159,-1302,9768,,,40319,362815,3626191,39832313,476559912,,,12
2625,8,23751846,1,-16,159,-1298,9546,,,40319,362815,3626191,39832309,476559558,,,12
2626,8,23751864,1,-16,159,-1304,9819,,,40319,362815,3626191,39832315,476560149,,,12
