class_id,pattern,lex_rank,representative,representative_rank,class_size
4686,42685173,16309,37158624,13750,8
4016,42685317,16310,27384615,8866,8
2123,42685371,16311,17358624,3790,8
3946,42685713,16312,27184635,8746,8
801,42685731,16313,13758624,1270,8
4705,42687135,16314,37281645,13900,8
4561,42687153,16315,35178624,12334,8
4011,42687315,16316,27381645,8860,8
1499,42687351,16317,15378624,2374,8
3940,42687513,16318,27183645,8740,8
602,42687531,16319,13578624,1054,8
475,42713568,16320,13468275,907,8
3529,42713586,16321,26138475,7939,8
1008,42713658,16322,14368275,1627,8
3589,42713685,16323,26318475,8059,8
4471,42713856,16324,34168275,11587,8
4634,42713865,16325,36218475,13099,8
662,42715368,16326,13648275,1123,8
3538,42715386,16327,26148375,7963,8
1835,42715638,16328,16348275,3043,4
3596,42715683,16329,26348175,8083,8
